"titre","auteur","abonnement","commentaire","localite","metteurenscene","date"
Mission Florimond,S. Danino & S. Azzopardi,1,,Palace,Jean-Pierre Williame,"2015-05-08 20:00:00,2015-05-09 20:00:00,2015-05-10 16:00:00"
Parle-moi d'amour,Philippe Claudel,1,,Palace,Bernadette Verocq & Yves Dath,"2015-10-23 20:00:00,2015-10-24 20:00:00,2015-10-25 16:00:00"
"Oui, mais...",Yves Lavandier,0,,Salle Léon Dubois (Académie),Anne-Sophie Collard,"2015-11-20 20:00:00,2015-11-21 20:00:00,2015-11-22 16:00:00"
Le visiteur,Eric-Emmanuel Schmitt,1,,Palace,Sabine Lessens & Florimont,"2016-01-15 20:00:00,2016-01-16 20:00:00,2016-01-17 16:00:00"
L'inédit de Molière,Marie-Hélène Ruiz,0,,Salle Léon Dubois (Académie),Jean-François Massy,"2016-04-15 20:00:00,2016-04-16 20:00:00,2016-04-17 16:00:00"
Silences en coulisses,Michaël Frayn,1,,Palace,Florimont,"2016-05-13 20:00:00,2016-05-14 20:00:00,2016-05-15 16:00:00"
Frédérick ou le Boulevard du Crime,Eric-Emmanuel Schmitt,1,,Palace,Florimont,"2016-10-21 20:00:00,2016-10-22 20:00:00,2016-10-23 16:00:00"
La Vague,Wim Verbeke,0,,Salle Léon Dubois (Académie),Jean-François Massy,"2016-11-18 20:00:00,2016-11-19 20:00:00,2016-11-20 16:00:00"
Thé à la menthe ou t'es citron ?,Danielle Navarro-Haudecoeur & Patrick Haudecoeur,1,,Palace,Collective,"2017-01-13 20:00:00,2017-01-14 20:00:00,2017-01-15 16:00:00"
La belle histoire 2,Virginie Delzenne,0,,Salle Léon Dubois (Académie),Sabine Lessens & Virginie Delzenne,"2017-03-24 20:00:00,2017-03-25 20:00:00,2017-03-26 16:00:00"
La Traversée de Paris,Marcel Aymé,1,,Palace,Kévin Ecobecq,"2017-05-12 20:00:00,2017-05-13 20:00:00,2017-05-14 16:00:00"
Cinq filles couleur pêche,Alan Ball,1,,Palace,Manon Dath,"2017-10-20 20:00:00,2017-10-21 20:00:00,2017-10-22 16:00:00"
Mademoiselle Julie,Auguste Strindberg,0,,Salle Léon Dubois (Académie),Christel Boulanger,"2017-11-17 20:00:00,2017-11-18 20:00:00,2017-11-19 16:00:00"
Coiffure pour dames,Robert Harling,1,"Adaptation: Michèle Laroque, Claire Nadaud",Palace,Jean-Pierre Williame,"2018-01-19 20:00:00,2018-01-20 20:00:00,2018-01-21 16:00:00"
J'aime beaucoup ce que vous faites,Carole Greep,1,,Palace,Florimont,"2018-05-04 20:00:00,2018-05-05 20:00:00,2018-05-06 16:00:00"
